,item_url
235,https://www.liveauctioneers.com/item/57397266_pablo-picasso-chouette-vase-vessel
236,https://www.liveauctioneers.com/item/14039568_1196-picasso-pablo
237,https://www.liveauctioneers.com/item/51157761_pablo-picasso-wood-owl
238,https://www.liveauctioneers.com/item/45049549_pablo-picasso-chouette-wood-owl-vessel
239,https://www.liveauctioneers.com/item/10403943_306-pablo-picasso-face-in-a-square-dish
240,https://www.liveauctioneers.com/item/17506740_pablo-picasso-seigneur-et-fille
241,https://www.liveauctioneers.com/item/43769415_pablo-picasso-madoura-rare-plaque
242,https://www.liveauctioneers.com/item/8184459_50-picasso-les-vendangeurs-linocut
243,https://www.liveauctioneers.com/item/7458360_72028-pablo-picasso-spanish-1881-1973-petit-djeune
244,https://www.liveauctioneers.com/item/54306668_pablo-picasso-1881-1973-head-of-a-bull
245,https://www.liveauctioneers.com/item/51955405_65116-after-pablo-picasso-1881-1973-femme-assise-do
246,https://www.liveauctioneers.com/item/62565666_and948-pablo-picasso-1881-1973-taureau-ailand233
247,https://www.liveauctioneers.com/item/56603058_pablo-picasso-madoura-earthenware-wood-owl
248,https://www.liveauctioneers.com/item/29960448_pablo-picasso-spanish-1881-1973-pitcher-bearded
249,https://www.liveauctioneers.com/item/53631527_pablo-picasso-woman-s-head-with-crown-of-flowers
250,https://www.liveauctioneers.com/item/56764542_pablo-picasso
251,https://www.liveauctioneers.com/item/51460083_pablo-picasso-1881-1973-madoura-hibou-rouge-sur
252,https://www.liveauctioneers.com/item/48621715_pablo-picasso
253,https://www.liveauctioneers.com/item/10965546_1289-spiritello
254,https://www.liveauctioneers.com/item/10229533_8256-picasso-pablo-portrait-de-jacqueline
255,https://www.liveauctioneers.com/item/50412303_pablo-picasso-cavalier-et-cheval-vase-vessel
256,https://www.liveauctioneers.com/item/24235176_pablo-picasso-geometric-face
257,https://www.liveauctioneers.com/item/20873246_picasso-visage-de-profil-large-madoura-vase
258,https://www.liveauctioneers.com/item/26220482_pablo-picasso-spanish-1881-1973
259,https://www.liveauctioneers.com/item/51955391_65113-pablo-picasso-1881-1973-tte-de-femme-couronn
260,https://www.liveauctioneers.com/item/41118087_pablo-picasso-vallauris-r331
261,https://www.liveauctioneers.com/item/6505579_220-pablo-picasso-1881-1973-spanish
262,https://www.liveauctioneers.com/item/17784626_pablo-picasso-madoura-flower-women-pitcher
263,https://www.liveauctioneers.com/item/45049550_pablo-picasso-chouette-wood-owl-vessel
264,https://www.liveauctioneers.com/item/59972546_large-pablo-picasso-pichet-aux-arums-pitcher-ar-189
265,https://www.liveauctioneers.com/item/45781073_pablo-picasso-jacqueline-at-the-easel-with-faun-plate
266,https://www.liveauctioneers.com/item/8501259_199-att-to-pablo-picasso-1881-1973-le-source-22-x
267,https://www.liveauctioneers.com/item/45067423_pablo-picasso
268,https://www.liveauctioneers.com/item/6313327_11657-pablo-picasso-hsig-lithograph-still-life-1946
269,https://www.liveauctioneers.com/item/52943904_77021-pablo-picasso-1881-1973-drawing-for-milton-fox
